"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Poplar & Limehouse","46700","Unaltered","Lab","18679","Lab","27717","9"
"Portsmouth North","44118","Unaltered","Con","19533","Con","22385","5"
"Portsmouth South","41264","Unaltered","LD","18921","LD","25277","7"
"Preseli Pembrokeshire","39602","Unaltered","Con","16944","Con","20543","3"
"Preston","32505","Unaltered","Lab","15668","Lab","19609","5"
"Pudsey","49083","Unaltered","Con","18874","Con","26818","4"
"Putney","40785","Unaltered","Con","21223","Con","21223","1"
"Rayleigh & Wickford","52343","Unaltered","Con","30257","Con","30257","1"
"Reading East","49985","Unaltered","Con","21269","Con","36019","6"
"Reading West","47530","Unaltered","Con","20523","Con","26796","5"
"Redcar","41963","Unaltered","LD","18955","LD","24745","5"
"Redditch","44018","Unaltered","Con","19138","Con","22284","8"
"Reigate","49978","Unaltered","Con","26688","Con","26688","1"
"Renfrewshire East","51181","Unaltered","Lab","25987","Lab","25987","1"
"Rhondda","31072","Unaltered","Lab","17183","Lab","17183","1"
"Ribble Valley","52287","Unaltered","Con","26298","Con","26298","1"
"Richmond (Yorks)","53412","Unaltered","Con","33541","Con","33541","1"
"Richmond Park","59268","Unaltered","Con","29461","Con","30263","5"
"Rochdale","45907","Altered","Lab","16699","LD","19854","6"
"Rochester & Strood","47971","Unaltered","Con","23604","Con","25786","3"
"Rochford & Southend East","41631","Unaltered","Con","19509","Con","21365","4"
"Romford","46481","Unaltered","Con","26031","Con","26031","1"
"Romsey & Southampton North","48939","Unaltered","Con","24345","Con","25634","2"
"Ross, Skye & Lochaber","34838","Unaltered","LD","18335","LD","18335","1"
"Rossendale & Darwen","47128","Unaltered","Con","19691","Con","27357","7"
"Rother Valley","46758","Unaltered","Lab","19147","Lab","23206","4"
"Rotherham","37506","Unaltered","Lab","16741","Lab","21198","5"
"Rugby","47468","Unaltered","Con","20901","Con","32116","5"
"Ruislip, Northwood & Pinner","50205","Unaltered","Con","28866","Con","28866","1"
"Runnymede & Weybridge","48150","Unaltered","Con","26915","Con","26915","1"
"Rushcliffe","53687","Unaltered","Con","27470","Con","27470","1"
"Rutherglen & Hamilton West","46981","Unaltered","Lab","28566","Lab","28566","1"
"Rutland & Melton","55220","Unaltered","Con","28228","Con","28228","1"
"Saffron Walden","54369","Unaltered","Con","30155","Con","30155","1"
"St Albans","52835","Altered","Con","21533","LD","29274","4"
"St Austell & Newquay","47238","Unaltered","LD","20189","LD","23575","5"
"St Helens North","44556","Unaltered","Lab","23041","Lab","23041","1"
"St Helens South & Whiston","46081","Unaltered","Lab","24364","Lab","24364","1"
"St Ives","45921","Unaltered","LD","19619","LD","24333","6"
"Salford & Eccles","41533","Altered","Lab","16655","Con","20436","7"
"Salisbury","48481","Unaltered","Con","23859","Con","24624","5"
"Scarborough & Whitby","49282","Unaltered","Con","21108","Con","29600","7"
"Scunthorpe","37034","Unaltered","Lab","14640","Lab","21810","5"
"Sedgefield","40222","Unaltered","Lab","18141","Lab","26174","5"
"Sefton Central","48463","Unaltered","Lab","20307","Lab","25226","3"
"Selby & Ainsty","51728","Unaltered","Con","25562","Con","26239","2"
"Sevenoaks","49408","Unaltered","Con","28076","Con","28076","1"
"Sheffield Brightside & Hillsborough","38914","Unaltered","Lab","21400","Lab","21400","1"
"Sheffield Central","41468","Altered","Lab","17138","LD","22358","6"
"Sheffield Hallam","51135","Unaltered","LD","27324","LD","27324","1"
"Sheffield Heeley","40871","Altered","Lab","17409","LD","18916","5"
"Sheffield South East","41408","Unaltered","Lab","20169","Lab","25003","5"
"Sherwood","48954","Altered","Con","19211","Lab","24473","5"
"Shipley","49427","Unaltered","Con","24002","Con","31455","3"
"Shrewsbury & Atcham","53045","Altered","Con","23313","LD","26703","6"
"Shropshire North","51869","Unaltered","Con","26692","Con","26692","1"
"Sittingbourne & Sheppey","48578","Unaltered","Con","24313","Con","24313","1"
"Skipton & Ripon","54724","Unaltered","Con","27685","Con","27685","1"
"Sleaford & North Hykeham","59530","Unaltered","Con","30719","Con","30719","1"
"Slough","47742","Unaltered","Lab","21884","Lab","25860","5"
"Solihull","55129","Unaltered","LD","23635","LD","28526","5"
"Somerset North","57941","Unaltered","Con","28549","Con","30806","2"
"Somerset North East","51203","Unaltered","Con","21130","Con","34317","4"
"Somerton & Frome","60612","Unaltered","LD","28793","LD","31468","4"
"South Holland & The Deepings","50188","Unaltered","Con","29639","Con","29639","1"
"South Ribble","51458","Unaltered","Con","23396","Con","26345","3"
"South Shields","36518","Unaltered","Lab","18995","Lab","18995","1"
"Southampton Itchen","44412","Altered","Lab","16326","Con","22647","5"
"Southampton Test","44187","Unaltered","Lab","17001","Lab","25149","5"
"Southend West","43606","Unaltered","Con","20086","Con","21965","5"
"Southport","43757","Unaltered","LD","21707","LD","25823","3"
"Spelthorne","47304","Unaltered","Con","22261","Con","26270","7"
"Stafford","50239","Unaltered","Con","22047","Con","30996","5"
"Staffordshire Moorlands","43815","Unaltered","Con","19793","Con","23373","2"
"Staffordshire South","50440","Unaltered","Con","26834","Con","26834","1"
"Stalybridge & Hyde","40879","Altered","Lab","16189","Con","22234","5"
"Stevenage","44651","Unaltered","Con","18491","Con","27501","8"
"Stirling","46841","Unaltered","Lab","19558","Lab","25331","4"
"Stockport","39128","Unaltered","Lab","16697","Lab","22026","5"
"Stockton North","39498","Unaltered","Lab","16923","Lab","20024","6"
"Stockton South","50284","Altered","Con","19577","Lab","24962","6"
"Stoke-on-Trent Central","32470","Unaltered","Lab","12605","Lab","16208","9"
"Stoke-on-Trent North","40196","Unaltered","Lab","17815","Lab","24935","4"
"Stoke-on-Trent South","39852","Unaltered","Lab","15446","Lab","20264","6"
"Stone","47229","Unaltered","Con","23890","Con","23890","1"
"Stourbridge","47234","Unaltered","Con","20153","Con","23952","5"
"Strangford","32505","Unaltered","DUP","14926","DUP","16321","5"
"Stratford-on-Avon","50542","Unaltered","Con","26052","Con","26052","1"
"Streatham","46837","Altered","Lab","20037","LD","25549","6"
"Stretford & Urmston","44910","Unaltered","Lab","21821","Lab","22514","3"
"Stroud","57973","Altered","Con","23679","Lab","30599","5"
"Suffolk Central & Ipswich North","53420","Unaltered","Con","27125","Con","27125","1"
