"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Aberavon","30958","Unaltered","Lab","16073","Lab","16073","1"
"Aberconwy","29966","Unaltered","Con","10734","Con","10734","5"
"Aberdeen North","37701","Unaltered","Lab","16746","Lab","16746","5"
"Aberdeen South","43034","Unaltered","Lab","15722","Lab","15722","6"
"Aberdeenshire West & Kincardine","45195","Unaltered","LD","17362","LD","17362","5"
"Airdrie & Shotts","35849","Unaltered","Lab","20849","Lab","20849","1"
"Aldershot","45384","Unaltered","Con","21203","Con","21203","5"
"Aldridge-Brownhills","38634","Unaltered","Con","22913","Con","22913","1"
"Altrincham & Sale West","49393","Unaltered","Con","24176","Con","24176","3"
"Alyn & Deeside","39923","Unaltered","Lab","15804","Lab","15804","5"
"Amber Valley","45958","Unaltered","Con","17746","Con","17746","5"
"Angus","37960","Unaltered","SNP","15020","SNP","15020","4"
"Antrim East","30502","Unaltered","DUP","13993","DUP","13993","5"
"Antrim North","42397","Unaltered","DUP","19672","DUP","19672","6"
"Antrim South","34009","Unaltered","DUP","11536","DUP","11536","5"
"Arfon","26078","Unaltered","PC","9383","PC","9383","4"
"Argyll & Bute","45207","Unaltered","LD","14292","LD","14292","6"
"Arundel & South Downs","55982","Unaltered","Con","32333","Con","32333","1"
"Ashfield","48196","Unaltered","Lab","16239","Lab","16239","6"
"Ashford","55185","Unaltered","Con","29878","Con","29878","1"
"Ashton Under Lyne","38432","Unaltered","Lab","18604","Lab","18604","4"
"Aylesbury","53162","Unaltered","Con","27736","Con","27736","1"
"Ayr, Carrick & Cumnock","45893","Unaltered","Lab","21632","Lab","21632","3"
"Ayrshire Central","43915","Unaltered","Lab","20950","Lab","20950","4"
"Ayrshire North & Arran","46116","Unaltered","Lab","21860","Lab","21860","4"
"Banbury","56241","Unaltered","Con","29703","Con","29703","1"
"Banff & Buchan","38466","Unaltered","SNP","15868","SNP","15868","4"
"Barking","45343","Unaltered","Lab","24628","Lab","24628","1"
"Barnsley Central","37001","Unaltered","Lab","17487","Lab","17487","7"
"Barnsley East","38386","Unaltered","Lab","18059","Lab","18059","7"
"Barrow & Furness","44124","Unaltered","Lab","21226","Lab","21226","6"
"Basildon & Billericay","41569","Unaltered","Con","21922","Con","21922","1"
"Basildon South & Thurrock East","44735","Unaltered","Con","19624","Con","19624","5"
"Basingstoke","50654","Unaltered","Con","25590","Con","25590","1"
"Bassetlaw","49577","Unaltered","Lab","25018","Lab","25018","1"
"Bath","47086","Unaltered","LD","26651","LD","26651","1"
"Batley & Spen","51109","Unaltered","Lab","21565","Lab","21565","4"
"Battersea","48792","Unaltered","Con","23103","Con","23103","6"
"Beaconsfield","52490","Unaltered","Con","32053","Con","32053","1"
"Beckenham","47686","Unaltered","Con","27597","Con","27597","1"
"Bedford","45102","Unaltered","Con","17546","Con","17546","6"
"Bedfordshire Mid","54897","Unaltered","Con","28815","Con","28815","1"
"Bedfordshire North East","55552","Unaltered","Con","30989","Con","30989","1"
"Bedfordshire South West","50774","Unaltered","Con","26815","Con","26815","1"
"Belfast East","34488","Unaltered","APNI","12839","APNI","12839","5"
"Belfast North","36993","Unaltered","DUP","14812","DUP","14812","5"
"Belfast South","34186","Unaltered","SDLP","14026","SDLP","14026","4"
"Belfast West","32133","Unaltered","SF","22840","SF","22840","1"
"Bermondsey & Old Southwark","44651","Unaltered","LD","21590","LD","21590","6"
"Berwick-upon-Tweed","38439","Unaltered","LD","16806","LD","16806","4"
"Berwickshire, Roxburgh & Selkirk","49014","Unaltered","LD","22230","LD","22230","5"
"Bethnal Green & Bow","50728","Unaltered","Lab","21784","Lab","21784","10"
"Beverley & Holderness","53199","Unaltered","Con","25063","Con","25063","6"
"Bexhill & Battle","54587","Unaltered","Con","28147","Con","28147","1"
"Bexleyheath & Crayford","43182","Unaltered","Con","21794","Con","21794","1"
"Birkenhead","35323","Unaltered","Lab","22082","Lab","22082","1"
"Birmingham Edgbaston","41571","Unaltered","Lab","16894","Lab","16894","7"
"Birmingham Erdington","35546","Unaltered","Lab","14869","Lab","14869","7"
"Birmingham Hall Green","48727","Unaltered","Lab","16039","Lab","16039","5"
"Birmingham Hodge Hill","42472","Unaltered","Lab","22077","Lab","22077","1"
"Birmingham Ladywood","35833","Unaltered","Lab","19950","Lab","19950","1"
"Birmingham Northfield","41814","Unaltered","Lab","16841","Lab","16841","6"
"Birmingham Perry Barr","42045","Unaltered","Lab","21142","Lab","21142","1"
"Birmingham Selly Oak","46563","Unaltered","Lab","17950","Lab","17950","6"
"Birmingham Yardley","40850","Unaltered","LD","16162","LD","16162","5"
"Bishop Auckland","41136","Unaltered","Lab","16023","Lab","16023","5"
"Blackburn","45499","Unaltered","Lab","21751","Lab","21751","7"
"Blackley & Broughton","34204","Unaltered","Lab","18563","Lab","18563","1"
"Blackpool North & Cleveleys","40591","Unaltered","Con","16964","Con","16964","5"
"Blackpool South","35192","Unaltered","Lab","14449","Lab","14449","5"
"Blaenau Gwent","32395","Unaltered","Lab","16974","Lab","16974","1"
"Blaydon","44913","Unaltered","Lab","22297","Lab","22297","3"
"Blyth Valley","38566","Unaltered","Lab","17156","Lab","17156","6"
"Bognor Regis & Littlehampton","46852","Unaltered","Con","24087","Con","24087","1"
"Bolsover","43988","Unaltered","Lab","21994","Lab","21994","4"
"Bolton North East","43277","Unaltered","Lab","19870","Lab","19870","4"
"Bolton South East","39604","Unaltered","Lab","18782","Lab","18782","6"
"Bolton West","47576","Unaltered","Lab","18327","Lab","18327","6"
"Bootle","41277","Unaltered","Lab","27426","Lab","27426","1"
"Boston & Skegness","43125","Unaltered","Con","21325","Con","21325","5"
"Bosworth","54274","Unaltered","Con","23132","Con","23132","6"
"Bournemouth East","44024","Unaltered","Con","21320","Con","21320","4"
"Bournemouth West","41659","Unaltered","Con","18808","Con","18808","4"
"Bracknell","52136","Unaltered","Con","27327","Con","27327","1"
"Bradford East","40457","Unaltered","LD","13637","LD","13637","6"
"Bradford South","37995","Unaltered","Lab","15682","Lab","15682","5"
"Bradford West","40576","Unaltered","Lab","18401","Lab","18401","7"
"Braintree","49203","Unaltered","Con","25901","Con","25901","1"
"Brecon & Radnorshire","38845","Unaltered","LD","17929","LD","17929","7"
"Brent Central","45323","Unaltered","LD","20026","LD","20026","6"
"Brent North","52298","Unaltered","Lab","24514","Lab","24514","7"
"Brentford & Isleworth","53765","Unaltered","Con","20022","Con","20022","9"
"Brentwood & Ongar","50592","Unaltered","Con","28793","Con","28793","1"
"Bridgend","38347","Unaltered","Lab","13931","Lab","13931","5"
"Bridgwater & Somerset West","54493","Unaltered","Con","24675","Con","24675","6"
"Brigg & Goole","43874","Unaltered","Con","19680","Con","19680","4"
"Brighton Kemptown","42705","Unaltered","Con","16217","Con","16217","5"
"Brighton Pavilion","51834","Unaltered","Grn","16238","Grn","16238","7"
"Bristol East","45017","Unaltered","Lab","16471","Lab","16471","7"
"Bristol North West","50336","Unaltered","Con","19115","Con","19115","5"
"Bristol South","48377","Unaltered","Lab","18600","Lab","18600","7"
"Bristol West","55347","Unaltered","LD","26593","LD","26593","6"
"Broadland","52676","Unaltered","Con","24338","Con","24338","5"
"Bromley & Chislehurst","44037","Unaltered","Con","23569","Con","23569","1"
"Bromsgrove","51630","Unaltered","Con","22558","Con","22558","7"
"Broxbourne","45658","Unaltered","Con","26844","Con","26844","1"
"Broxtowe","52727","Unaltered","Con","20585","Con","20585","5"
"Buckingham","48335","Unaltered","Speaker","22860","Speaker","22860","10"
"Burnley","41845","Unaltered","LD","14932","LD","14932","6"
"Burton","49823","Unaltered","Con","22188","Con","22188","4"
"Bury North","44961","Unaltered","Con","18070","Con","18070","6"
"Bury South","48267","Unaltered","Lab","19508","Lab","19508","6"
"Bury St Edmunds","58718","Unaltered","Con","27899","Con","27899","4"
"Caerphilly","38692","Unaltered","Lab","17377","Lab","17377","5"
"Caithness, Sutherland & Easter Ross","28768","Unaltered","LD","11907","LD","11907","4"
"Calder Valley","51780","Unaltered","Con","20397","Con","20397","8"
"Camberwell & Peckham","46659","Unaltered","Lab","27619","Lab","27619","1"
"Camborne & Redruth","42493","Unaltered","Con","15969","Con","15969","6"
"Cambridge","50130","Unaltered","LD","19621","LD","19621","6"
"Cambridgeshire North East","52064","Unaltered","Con","26862","Con","26862","1"
"Cambridgeshire North West","58283","Unaltered","Con","29425","Con","29425","1"
"Cambridgeshire South","59056","Unaltered","Con","27995","Con","27995","5"
"Cambridgeshire South East","57602","Unaltered","Con","27629","Con","27629","6"
"Cannock Chase","45559","Unaltered","Con","18271","Con","18271","7"
"Canterbury","49209","Unaltered","Con","22050","Con","22050","5"
"Cardiff Central","36151","Unaltered","LD","14976","LD","14976","8"
"Cardiff North","47630","Unaltered","Con","17860","Con","17860","6"
"Cardiff South & Penarth","44369","Unaltered","Lab","17262","Lab","17262","8"
"Cardiff West","40958","Unaltered","Lab","16894","Lab","16894","5"
"Carlisle","42200","Unaltered","Con","16589","Con","16589","7"
"Carmarthen East & Dinefwr","38011","Unaltered","PC","13546","PC","13546","4"
"Carmarthen West & Pembrokeshire South","40507","Unaltered","Con","16649","Con","16649","5"
