x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
10581.667	1	392.66699	1	1	0	0	0	0	0
19493.334	1	2512.334	0	0	1	1	0	0	0
17138	1	157	0	0	1	1	0	0	0
8937.333	0	-1251.667	1	0	0	0	0	0	0
9014	0	-1175	1	0	0	0	0	0	0
8737	1	-1452	1	0	0	0	0	0	0
13552.667	0	-32.333008	1	1	0	0	0	0	0
30161	1	-404	0	0	0	1	1	0	0
20282.666	0	3301.666	0	0	1	1	0	0	0
11659.667	1	1470.667	1	1	0	0	0	0	0
18873.666	1	1892.666	0	0	1	1	0	0	0
17713.666	1	732.66602	0	0	1	1	0	0	0
24523.666	0	750.66602	0	0	0	1	1	0	0
27219.666	1	-3345.334	0	0	0	1	1	0	0
9695	0	-494	1	0	0	0	0	0	0
9955.333	0	-233.66699	1	0	0	0	0	0	0
20336	0	3355	0	0	1	1	0	0	0
40685	0	3329	0	0	0	0	0	1	1
36276	0	-1080	0	0	0	0	1	1	0
37768.668	0	412.66797	0	0	0	0	0	1	1
19414	0	2433	0	0	1	1	0	0	0
10020.333	0	-168.66699	1	0	0	0	0	0	0
15788.667	1	-1192.333	0	1	1	0	0	0	0
15788.667	1	-1192.333	0	1	1	0	0	0	0
15788.667	0	-1192.333	0	1	1	0	0	0	0
15112	0	1527	0	1	1	0	0	0	0
15112	1	1527	0	1	1	0	0	0	0
14409	1	824	0	1	1	0	0	0	0
14409	1	824	0	1	1	0	0	0	0
11094	1	905	1	1	0	0	0	0	0
12035	1	-1550	1	1	0	0	0	0	0
9964.333	0	-224.66699	1	0	0	0	0	0	0
10956.333	1	767.33301	1	1	0	0	0	0	0
8155	0	-2034	1	0	0	0	0	0	0
9036.667	0	-1152.333	1	0	0	0	0	0	0
36471	0	-885	0	0	0	0	1	1	0
16206	0	-775	0	1	1	0	0	0	0
17278.334	0	297.33398	0	0	1	1	0	0	0
37081	0	-275	0	0	0	0	1	1	0
39939.332	0	2583.332	0	0	0	0	0	1	1
15503	0	-1478	0	1	1	0	0	0	0
7513	0	-2676	1	0	0	0	0	0	0
7577.3335	1	-2611.6665	1	0	0	0	0	0	0
17353.334	1	372.33398	0	0	1	1	0	0	0
18272.334	0	1291.334	0	0	1	1	0	0	0
8469.667	0	-1719.333	1	0	0	0	0	0	0
