"name","industry","sector","website","rank"
"Mead Johnson Nutrition","Food Consumer Products","Food, Beverages & Tobacco","http://www.meadjohnson.com",584
"Activision Blizzard","Computer Software","Technology","http://www.activisionblizzard.com",585
"Protective Life","Insurance: Life, Health (stock)","Financials","http://www.protective.com",586
"Envision Healthcare Holdings","Health Care: Pharmacy and Other Services","Health Care","http://www.evhc.net",587
"Fortune Brands Home & Security","Home Equipment, Furnishings","Household Products","http://www.fbhs.com",588
"RPM International","Chemicals","Chemicals","http://www.rpminc.com",589
"VWR","Wholesalers: Diversified","Wholesalers","http://www.vwr.com",590
"LPL Financial Holdings","Securities","Financials","http://www.lpl.com",591
"KeyCorp","Commercial Banks","Financials","http://www.key.com",592
"Swift Transportation","Trucking, Truck Leasing","Transportation","http://www.swifttrans.com",593
"Alpha Natural Resources","Mining, Crude-Oil Production","Energy","http://www.alphanr.com",594
"Hasbro","Toys, Sporting Goods","Household Products","http://www.hasbro.com",595
"Resolute Forest Products","Forest and Paper Products","Materials","http://www.resolutefp.com",596
"Tiffany","Specialty Retailers: Other","Retailing","http://www.tiffany.com",597
"McCormick","Food Consumer Products","Food, Beverages & Tobacco","http://www.mccormickcorporation.com",598
"Graphic Packaging Holding","Packaging, Containers","Materials","http://www.graphicpkg.com",599
"Greif","Packaging, Containers","Materials","http://www.greif.com",600
"Allegheny Technologies","Metals","Materials","http://www.atimetals.com",601
"Securian Financial Group","Insurance: Life, Health (stock)","Financials","http://www.securian.com",602
"B/E Aerospace","Aerospace and Defense","Aerospace & Defense","http://www.beaerospace.com",603
"Exelis","Aerospace and Defense","Aerospace & Defense","http://www.exelisinc.com",604
"Adobe Systems","Computer Software","Technology","http://www.adobe.com",605
"Molson Coors Brewing","Beverages","Food, Beverages & Tobacco","http://www.molsoncoors.com",606
"Roundy's","Food and Drug Stores","Food & Drug Stores","http://www.roundys.com",607
"CNO Financial Group","Insurance: Life, Health (stock)","Financials","http://www.cnoinc.com",608
"Adams Resources & Energy","Energy","Energy","http://www.adamsresources.com",609
"Belk","General Merchandisers","Retailing","http://www.belk.com",610
"Chipotle Mexican Grill","Food Services","Hotels, Resturants & Leisure","http://www.chipotle.com",611
"American Tower","Telecommunications","Telecommunications","http://www.americantower.com",612
"FMC","Chemicals","Chemicals","http://www.fmc.com",613
"Hillshire Brands","Food Consumer Products","Food, Beverages & Tobacco","http://www.tysonfoods.com",614
"AmTrust Financial Services","Insurance: Property and Casualty (Stock)","Financials","http://www.amtrustgroup.com",615
"Brunswick","Transportation Equipment","Transportation","http://www.brunswick.com",616
"Patterson","Wholesalers: Health Care","Wholesalers","http://www.pattersoncompanies.com",617
"Southwestern Energy","Mining, Crude-Oil Production","Energy","http://www.swn.com",618
"Ametek","Scientific,Photographic and Control Equipment","Technology","http://www.ametek.com",619
"T. Rowe Price","Securities","Financials","http://www.troweprice.com",620
"Torchmark","Insurance: Life, Health (stock)","Financials","http://www.torchmarkcorp.com",621
"Darling Ingredients","Food Production","Food, Beverages & Tobacco","http://www.darlingii.com",622
"Leggett & Platt","Home Equipment, Furnishings","Household Products","http://www.leggett.com",623
"Watsco","Wholesalers: Diversified","Wholesalers","http://www.watsco.com",624
"Crestwood Equity Partners","Energy","Energy","http://www.crestwoodlp.com",625
"Xylem","Industrial Machinery","Industrials","http://www.xyleminc.com",626
"Silgan Holdings","Packaging, Containers","Materials","http://www.silganholdings.com",627
"Toll Brothers","Homebuilders","Engineering & Construction","http://www.tollbrothers.com",628
"Manitowoc","Construction and Farm Machinery","Industrials","http://www.manitowoc.com",629
"Science Applications International","Information Technology Services","Technology","http://www.saic.com",630
"Carlyle Group","Securities","Financials","http://www.carlyle.com",631
"Timken","Industrial Machinery","Industrials","http://www.timken.com",632
"Genesis Energy","Pipelines","Energy","http://www.genesisenergy.com",633
"WPX Energy","Mining, Crude-Oil Production","Energy","http://www.wpxenergy.com",634
"CareFusion","Medical Products and Equipment","Health Care","http://www.carefusion.com",635
"Pitney Bowes","Computers, Office Equipment","Technology","http://www.pb.com",636
"Ingles Markets","Food and Drug Stores","Food & Drug Stores","http://www.ingles-markets.com",637
"PolyOne","Chemicals","Chemicals","http://www.polyone.com",638
"Brookdale Senior Living","Health Care: Medical Facilities","Health Care","http://www.brookdale.com",639
"CommScope Holding","Network and Other Communications Equipment","Technology","http://www.commscope.com",640
"Meritor","Motor Vehicles and Parts","Motor Vehicles & Parts","http://www.meritor.com",641
"Joy Global","Construction and Farm Machinery","Industrials","http://www.joyglobal.com",642
"Unified Grocers","Wholesalers: Food and Grocery","Wholesalers","http://www.unifiedgrocers.com",643
"Triumph Group","Aerospace and Defense","Aerospace & Defense","http://www.triumphgroup.com",644
"Magellan Health","Health Care: Insurance and Managed Care","Health Care","http://www.magellanhealth.com",645
"Sally Beauty Holdings","Specialty Retailers: Other","Retailing","http://www.sallybeautyholdings.com",646
"Flowers Foods","Food Consumer Products","Food, Beverages & Tobacco","http://www.flowersfoods.com",647
"Abercrombie & Fitch","Specialty Retailers: Apparel","Retailing","http://www.abercrombie.com",648
"New Jersey Resources","Energy","Energy","http://www.njresources.com",649
"Fastenal","Specialty Retailers: Other","Retailing","http://www.fastenal.com",650
"NII Holdings","Telecommunications","Telecommunications","http://www.nii.com",651
"Consol Energy","Mining, Crude-Oil Production","Energy","http://www.consolenergy.com",652
"USG","Building Materials, Glass","Materials","http://www.usg.com",653
"Brink's","Diversified Outsourcing Services","Business Services","http://www.brinks.com",654
