5760 2 0 1 9
5761 3 3 3 9
5763 2 4 4 9
5761 2 0 0 9
5769 2 1 1 9
5771 4 3 3 9
5772 3 4 4 9
5773 1 0 0 9
5774 3 3 3 9
5776 1 1 0 9
5777 2 2 2 9
5778 4 4 4 9
5762 1 0 0 9
5765 2 0 0 9
5779 4 4 4 9
5780 2 4 4 9
5781 4 4 4 9
5783 4 3 3 9
5785 4 4 2 9
5784 4 4 4 9
5786 3 3 2 9
5787 0 0 0 9
5788 3 2 2 9
5790 4 2 1 9
5791 1 1 1 9
5792 4 2 3 9
5793 4 4 4 9
5756 4 3 3 9
5782 4 3 4 9
5795 4 4 4 9
5797 4 2 1 9
5798 2 2 1 9
5799 4 2 1 9
5800 3 3 3 9
5801 0 0 0 9
5802 4 4 4 9
5805 4 4 2 9
5794 3 1 1 9
5796 0 0 0 9
5803 4 4 4 9
5804 4 4 4 9
5806 4 4 4 9
5807 2 2 2 9
5808 4 4 3 9
5810 4 4 4 9
5812 4 3 2 9
5813 4 2 3 9
5815 3 3 3 9
5816 1 2 1 9
5817 1 1 0 9
5820 3 4 4 9
5814 2 3 1 9
5818 2 2 3 9
5819 2 3 3 9
5821 2 2 2 9
5822 4 4 4 9
5823 0 1 0 9
5824 4 4 4 9
5825 4 3 3 9
5826 0 1 0 9
5828 2 1 0 9
5827 4 3 3 9
5830 2 2 1 9
5831 4 3 3 9
5832 1 4 1 9
5833 4 4 3 9
5835 2 1 1 9
5836 4 1 1 9
5829 3 2 2 9
5834 2 2 3 9
5837 2 2 2 9
5838 4 2 2 9
5839 2 2 2 9
5840 3 3 2 9
5841 3 3 2 9
5842 2 3 3 9
5843 3 3 2 9
5844 4 2 3 9
5845 4 4 3 9
5846 3 4 2 9
5848 4 2 2 9
5849 3 4 4 9
5850 3 3 1 9
5851 1 1 1 9
5852 3 0 3 9
5853 2 1 0 9
5854 1 3 1 9
5855 3 1 0 9
5856 1 1 1 9
5858 4 3 3 9
5859 0 0 0 9
5860 4 4 4 9
5857 2 0 0 9
5862 4 0 0 9
5863 3 2 3 9
5864 4 3 4 9
5865 4 2 1 9
5866 4 4 4 9
5868 3 4 1 9
5869 3 2 1 9
5870 4 4 2 9
5871 0 0 0 9
5873 2 2 2 9
5874 3 4 3 9
5875 2 1 2 9
5876 2 2 1 9
5877 2 1 1 9
5879 3 3 3 9
5880 4 1 1 9
5881 3 4 4 9
5882 4 4 3 9
5883 3 3 3 9
5884 4 4 4 9
5885 4 2 2 9
5888 4 3 2 9
5889 0 0 0 9
5890 4 4 4 9
5892 3 1 1 9
5893 4 2 3 9
5887 3 2 3 9
5872 3 3 1 9
5878 0 1 1 9
5886 4 4 4 9
5898 2 2 1 9
5902 2 1 0 9
5903 4 4 3 9
5904 3 2 3 9
5906 2 1 1 9
5894 4 4 4 9
5895 4 4 4 9
5896 4 4 4 9
5897 2 1 0 9
5900 2 2 1 9
5905 2 2 0 9
5907 2 4 2 9
5908 2 1 1 9
5910 0 0 0 9
5911 4 4 2 9
5912 3 4 4 9
5913 4 4 2 9
5914 3 2 2 9
5916 4 3 3 9
5891 4 0 2 9
5899 4 4 2 9
5909 4 3 2 9
5915 4 3 2 9
5917 0 1 0 9
5918 3 4 3 9
5919 4 2 2 9
5922 4 2 2 9
5920 3 2 1 9
5921 4 4 4 9
5924 4 4 2 9
5925 4 3 1 9
5926 2 2 1 9
5927 1 1 1 9
5928 4 4 4 9
5929 4 4 4 9
5931 4 4 3 9
5932 1 0 0 9
5934 1 2 1 9
5935 1 0 0 9
5936 4 4 2 9
5939 4 4 2 9
5940 0 0 0 9
5941 2 2 2 1
5943 0 4 4 3
5945 2 0 0 1
5947 3 1 3 2
5950 1 0 0 0
5951 2 0 3 3
5930 4 4 4 4
5933 0 0 0 0
5944 4 3 2 2
5946 3 4 3 2
5948 1 1 1 1
5949 0 0 0 0
5953 3 3 3 3
5954 4 4 4 4
5956 4 4 4 3
5957 4 2 2 2
5958 3 4 3 3
5959 3 4 3 3
5960 4 1 0 1
5962 4 4 4 3
5961 1 2 2 1
5963 3 3 1 2
5964 4 3 2 3
5966 2 1 0 0
5967 1 3 1 1
5969 1 0 0 0
5938 4 4 4 4
5965 4 4 4 3
5970 3 2 2 2
5971 2 2 1 1
5972 4 2 2 2
5973 2 1 2 2
5974 3 3 2 2
5975 3 2 3 3
5976 4 4 4 2
5977 4 4 4 4
5980 4 0 0 1
5981 4 4 4 4
5983 2 1 2 2
5984 3 2 0 1
5985 2 1 1 1
5986 4 4 4 4
5987 0 1 0 0
5988 0 0 0 0
5989 1 2 0 1
5991 2 1 0 1
5993 4 4 3 4
5994 3 2 2 2
5995 4 4 3 4
5996 3 3 4 4
5997 4 4 3 3
5999 3 3 2 2
6000 4 4 2 3
5978 1 0 0 1
5990 2 2 1 0
6001 4 3 3 4
6002 3 2 2 2
6003 4 4 3 3
6004 4 4 4 4
6005 3 3 3 3
6006 2 3 4 2
6008 4 4 4 4
6009 0 0 0 1
6010 4 3 3 3
6011 0 0 0 0
6012 3 2 2 2
6013 2 0 0 0
5968 2 0 1 0
5998 2 2 1 2
6014 4 4 4 2
6017 3 4 4 2
6019 2 0 0 1
6020 2 2 2 1
6015 2 2 1 2
6016 1 3 3 2
6018 3 3 2 2
6021 2 3 2 2
6022 4 1 0 2
6023 4 4 4 3
6025 2 2 0 1
6026 2 1 0 1
6027 3 3 2 3
6028 3 4 4 3
6029 4 4 4 3
6031 4 4 4 4
6032 2 4 3 4
6033 2 4 1 0
6034 1 2 3 3
6035 4 3 2 3
5979 3 4 1 2
6030 4 3 4 4
6039 0 0 0 0
6040 4 4 4 3
6041 3 1 1 2
6042 0 3 1 0
6043 3 1 1 2
5992 1 1 0 1
6007 4 4 2 0
6037 4 4 4 4
6038 4 4 4 4
6044 1 0 0 0
6045 3 2 0 1
6046 3 3 3 4
6047 2 2 2 2
6048 4 4 4 4
6049 1 4 2 2
6050 3 4 4 4
6051 3 3 3 3
6052 1 1 1 1
6053 4 4 3 4
6054 4 4 4 4
6056 2 3 3 2
6057 3 4 4 3
6058 3 4 4 4
6059 3 2 1 1
6060 3 3 3 3
6062 4 4 3 3
6063 4 4 4 4
6064 3 3 3 2
6065 4 4 4 4
6055 4 2 2 2
6061 4 4 4 3
6067 4 1 2 3
6068 4 4 4 1
6069 4 4 4 3
6070 3 1 0 1
6071 4 2 2 2
6073 3 4 4 4
6072 2 2 1 1
6075 2 1 1 2
6076 2 2 4 3
6077 0 0 0 0
6078 4 2 1 2
6079 4 4 4 4
6080 3 2 2 2
6084 4 3 3 3
6081 1 0 0 0
6082 2 2 3 2
6083 3 1 1 4
6086 4 4 4 4
6087 4 3 2 3
6088 4 4 3 3
6089 2 4 2 2
6091 4 3 1 2
6093 3 3 2 1
6092 3 2 2 2
6074 0 0 0 0
6085 3 3 2 3
6090 4 3 4 3
6095 4 4 4 4
6096 4 4 4 4
6097 4 4 4 3
6099 4 4 4 2
6036 1 0 0 1
6066 1 1 2 1
6094 3 2 3 2
