ibope;;ID;W_orig-1semana;W;UF
14;"""JOAO DURVAL CARNEIRO""";BA123;14;39;"""BA"""
18;"""FRANCISCO WALDIR PIRES DE SOUZA""";BA133;14;39;"""BA"""
7;"""HAROLDO BORGES RODRIGUES LIMA""";BA651;14;39;"""BA"""
3;"""MARIA DEL CARMEN FIDALGO SANCHEZ PUGA""";BA451;14;39;"""BA"""
2;"""ALBERTO RODRIGUES NUNES""";;14;39;"""BA"""
1;"""LUIS CARLOS FRANCA""";BA161;14;39;"""BA"""
1;"""JOSE SILVA GAZAR""";;14;39;"""BA"""
1;"""RUY CORREA  SOARES""";BA401;14;39;"""BA"""
0;Sgto. Gutemberg;;14;39;
;;;;25;"""CE"""
1;"""RAIMUNDO JOSE AGUIAR RIBEIRO""";;10;35;"""CE"""
3;"""EUDORO WALTER DE SANTANA""";;10;35;"""CE"""
6;"""MARIO MAMEDE FILHO""";;10;35;"""CE"""
2;"""GELSON FERRAZ DE MEDEIROS""";;10;35;"""CE"""
58;"""PATRICIA LUCIA SABOYA FERREIRA GOMES""";;10;35;"""CE"""
2;"""PAULO DE TARSO MELO LIMA""";;10;35;"""CE"""
8;"""PAULO DE TARSO LUSTOSA DA COSTA""";;10;35;"""CE"""
73;"""TASSO RIBEIRO JEREISSATI""";;10;35;"""CE"""
2;"""RAIMUNDO JOSE AGUIAR RIBEIRO""";;14;39;"""CE"""
5;"""EUDORO WALTER DE SANTANA""";;14;39;"""CE"""
11;"""MARIO MAMEDE FILHO""";;14;39;"""CE"""
5;"""GELSON FERRAZ DE MEDEIROS""";;14;39;"""CE"""
59;"""PATRICIA LUCIA SABOYA FERREIRA GOMES""";;14;39;"""CE"""
3;"""PAULO DE TARSO MELO LIMA""";;14;39;"""CE"""
12;"""PAULO DE TARSO LUSTOSA DA COSTA""";;14;39;"""CE"""
64;"""TASSO RIBEIRO JEREISSATI""";;14;39;"""CE"""
1;"""RAIMUNDO JOSE AGUIAR RIBEIRO""";;16;41;"""CE"""
11;"""EUDORO WALTER DE SANTANA""";;16;41;"""CE"""
16;"""MARIO MAMEDE FILHO""";;16;41;"""CE"""
5;"""GELSON FERRAZ DE MEDEIROS""";;16;41;"""CE"""
58;"""PATRICIA LUCIA SABOYA FERREIRA GOMES""";;16;41;"""CE"""
2;"""PAULO DE TARSO MELO LIMA""";;16;41;"""CE"""
16;"""PAULO DE TARSO LUSTOSA DA COSTA""";;16;41;"""CE"""
62;"""TASSO RIBEIRO JEREISSATI""";;16;41;
;;;;25;"""DF"""
1;"""CELSON CARLOS BATISTA DE OLIVEIRA""";;9;34;"""DF"""
1;"""AURELIO FEITOSA MATTOS FILHO""";;9;34;"""DF"""
0;"""PAULO IZAIAS DE MACEDO FILHO""";;9;34;"""DF"""
44;"""CRISTOVAM RICARDO CAVALCANTI BUARQUE""";;9;34;"""DF"""
3;"""FREDO EBLING JUNIOR""";;9;34;"""DF"""
0;"""GILSON VASCONCELOS DOBBIN""";;9;34;"""DF"""
0;"""JOAO ARNOLFO CARVALHO DE OLIVEIRA""";;9;34;"""DF"""
18;"""JOFRAN FREJAT""";;9;34;"""DF"""
9;"""LAURO ALVARES DA SILVA CAMPOS""";;9;34;"""DF"""
0;"""MARCUS FABIUS MOTA DE ARAUJO""";;9;34;"""DF"""
0;"""MILTON CINTRA E SILVA""";;9;34;"""DF"""
2;"""GEDALIAS NEVES DA COSTA""";DF223;9;34;"""DF"""
36;"""PAULO OCTAVIO ALVES PEREIRA""";;9;34;"""DF"""
1;"""ANTONIO RICARDO MARTINS GUILLEN""";;9;34;"""DF"""
0;"""CELSON CARLOS BATISTA DE OLIVEIRA""";;12;37;"""DF"""
1;"""AURELIO FEITOSA MATTOS FILHO""";;12;37;"""DF"""
1;"""PAULO IZAIAS DE MACEDO FILHO""";;12;37;"""DF"""
46;"""CRISTOVAM RICARDO CAVALCANTI BUARQUE""";;12;37;"""DF"""
7;"""FREDO EBLING JUNIOR""";;12;37;"""DF"""
0;"""GILSON VASCONCELOS DOBBIN""";;12;37;"""DF"""
1;"""JOAO ARNOLFO CARVALHO DE OLIVEIRA""";;12;37;"""DF"""
20;"""JOFRAN FREJAT""";;12;37;"""DF"""
9;"""LAURO ALVARES DA SILVA CAMPOS""";;12;37;"""DF"""
0;"""MARCUS FABIUS MOTA DE ARAUJO""";;12;37;"""DF"""
0;"""MILTON CINTRA E SILVA""";;12;37;"""DF"""
2;"""GEDALIAS NEVES DA COSTA""";;12;37;"""DF"""
48;"""PAULO OCTAVIO ALVES PEREIRA""";;12;37;"""DF"""
1;"""ANTONIO RICARDO MARTINS GUILLEN""";;12;37;"""DF"""
0;"""CELSON CARLOS BATISTA DE OLIVEIRA""";;14;39;"""DF"""
1;"""AURELIO FEITOSA MATTOS FILHO""";;14;39;"""DF"""
0;"""PAULO IZAIAS DE MACEDO FILHO""";;14;39;"""DF"""
51;"""CRISTOVAM RICARDO CAVALCANTI BUARQUE""";;14;39;"""DF"""
11;"""FREDO EBLING JUNIOR""";;14;39;"""DF"""
1;"""GILSON VASCONCELOS DOBBIN""";;14;39;"""DF"""
