ibope;;ID;W_orig-1semana;W;UF
37;"""ELCIONE THEREZINHA ZAHLUTH BARBALHO""";PA151;16;41;"""PA"""
0;"""JOAO ORLANDO GALENO AMARAL""";PA161;16;41;"""PA"""
27;"""GERSON DOS SANTOS PERES""";PA111;16;41;"""PA"""
0;"""ISABEL MARIA BRITO PIMENTEL""";PA401;16;41;"""PA"""
0;Marquinho;;16;41;"""PA"""
5;"""NEUTON MIRANDA SOBRINHO""";PA654;16;41;"""PA"""
8;"""RAUL BATISTA DE SOUZA""";PA177;16;41;"""PA"""
0;"""RAIMUNDO PINHEIRO DOS SANTOS""";;16;41;"""PA"""
2;"""RAIMUNDO WANDERLEY CORREIA PADILHA""";PA162;16;41;"""PA"""
0;"""TELMA DE CARVALHO LOBO""";PA231;16;41;"""PA"""
5;"""SAHID XERFAN""";PA141;16;41;"""PA"""
0;Romulo Maiorana Junior;;16;41;"""PA"""
0;Almir Gabriel;;16;41;"""PA"""
0;Hildegrando Nunes;;16;41;"""PA"""
0;Jader Barbalhi;;16;41;
;;;;25;"""PB"""
1;"""ANTONIO BARBOSA DA SILVA""";PB400;8;33;"""PB"""
29;"""TARCISIO DE MIRANDA BURITI""";PB152;8;33;"""PB"""
7;"""ANA LIGIA COSTA FELICIANO""";PB203;8;33;"""PB"""
14;"""EFRAIM DE ARAUJO MORAIS""";PB251;8;33;"""PB"""
1;"""HERMANO NEPOMUCENO ARAUJO""";PB231;8;33;"""PB"""
0;"""JOSEILSON FREITAS MOURA""";;8;33;"""PB"""
3;"""SIMAO DE ALMEIDA NETO""";PB654;8;33;"""PB"""
1;"""TANIA MARIA DE OLIVEIRA BRITO""";PB161;8;33;"""PB"""
32;"""WILSON LEITE BRAGA""";PB252;8;33;"""PB"""
54;"""JOSE TARGINO MARANHAO""";PB151;8;33;"""PB"""
4;"""ANTONIO BARBOSA DA SILVA""";PB400;16;41;"""PB"""
25;"""TARCISIO DE MIRANDA BURITI""";PB152;16;41;"""PB"""
8;"""ANA LIGIA COSTA FELICIANO""";PB203;16;41;"""PB"""
24;"""EFRAIM DE ARAUJO MORAIS""";PB251;16;41;"""PB"""
0;"""HERMANO NEPOMUCENO ARAUJO""";PB231;16;41;"""PB"""
0;"""JOSEILSON FREITAS MOURA""";;16;41;"""PB"""
5;"""SIMAO DE ALMEIDA NETO""";PB654;16;41;"""PB"""
0;"""TANIA MARIA DE OLIVEIRA BRITO""";PB161;16;41;"""PB"""
36;"""WILSON LEITE BRAGA""";PB252;16;41;"""PB"""
42;"""JOSE TARGINO MARANHAO""";PB151;16;41;
;;;;25;"""PR"""
0;"""ABEL DE SOUZA MORANGUEIRA""";;7;32;"""PR"""
1;"""ARISTIDES MOSSAMBANI""";PR414;7;32;"""PR"""
1;"""AFFONSO ANTONIUK""";;7;32;"""PR"""
0;"""EDA MARIA SLOMP""";PR430;7;32;"""PR"""
1;"""EDESIO FRANCO PASSOS""";PR131;7;32;"""PR"""
2;"""FLAVIO JOSE ARNS""";PR133;7;32;"""PR"""
0;Gelson dos Santos;;7;32;"""PR"""
1;"""JULIO CEZAR DE JESUS""";PR161;7;32;"""PR"""
2;"""NELY LIDIA VALENTE DE ALMEIDA""";PR200;7;32;"""PR"""
35;"""OSMAR FERNANDES DIAS""";PR123;7;32;"""PR"""
24;"""PAULO CRUZ PIMENTEL""";PR151;7;32;"""PR"""
7;"""LUCIANO PIZZATTO""";PR252;7;32;"""PR"""
0;"""ANTONIO PROCOPIAK NETO""";PR270;7;32;"""PR"""
0;"""RALPH DURVAL MOREIRA DE SOUZA""";;7;32;"""PR"""
1;"""ROGERIO MIRANDA DE MELLO""";;7;32;"""PR"""
1;"""EVERALDO SILVA""";;7;32;"""PR"""
22;"""ANTONIO CELSO GARCIA""";PR111;7;32;"""PR"""
0;"""NITIS JACON DE ARAUJO MOREIRA""";PR452;7;32;"""PR"""
0;Pedro Muffato;;7;32;"""PR"""
0;"""ABEL DE SOUZA MORANGUEIRA""";;10;35;"""PR"""
1;"""ARISTIDES MOSSAMBANI""";PR414;10;35;"""PR"""
1;"""AFFONSO ANTONIUK""";;10;35;"""PR"""
2;"""EDA MARIA SLOMP""";PR430;10;35;"""PR"""
2;"""EDESIO FRANCO PASSOS""";PR131;10;35;"""PR"""
3;"""FLAVIO JOSE ARNS""";PR133;10;35;"""PR"""
0;Gelson dos Santos;;10;35;"""PR"""
0;"""JULIO CEZAR DE JESUS""";PR161;10;35;"""PR"""
2;"""NELY LIDIA VALENTE DE ALMEIDA""";PR200;10;35;"""PR"""
29;"""OSMAR FERNANDES DIAS""";PR123;10;35;"""PR"""
24;"""PAULO CRUZ PIMENTEL""";PR151;10;35;"""PR"""
6;"""LUCIANO PIZZATTO""";PR252;10;35;"""PR"""
0;"""ANTONIO PROCOPIAK NETO""";PR270;10;35;"""PR"""
0;"""RALPH DURVAL MOREIRA DE SOUZA""";;10;35;"""PR"""
1;"""ROGERIO MIRANDA DE MELLO""";;10;35;"""PR"""
0;"""EVERALDO SILVA""";;10;35;"""PR"""
17;"""ANTONIO CELSO GARCIA""";PR111;10;35;"""PR"""
1;"""NITIS JACON DE ARAUJO MOREIRA""";PR452;10;35;"""PR"""
3;Pedro Muffato;;10;35;"""PR"""
1;"""ABEL DE SOUZA MORANGUEIRA""";;13;38;"""PR"""
1;"""ARISTIDES MOSSAMBANI""";PR414;13;38;"""PR"""
2;"""AFFONSO ANTONIUK""";;13;38;"""PR"""
1;"""EDA MARIA SLOMP""";PR430;13;38;"""PR"""
6;"""EDESIO FRANCO PASSOS""";PR131;13;38;"""PR"""
9;"""FLAVIO JOSE ARNS""";PR133;13;38;"""PR"""
0;Gelson dos Santos;;13;38;"""PR"""
1;"""JULIO CEZAR DE JESUS""";PR161;13;38;"""PR"""
3;"""NELY LIDIA VALENTE DE ALMEIDA""";PR200;13;38;"""PR"""
39;"""OSMAR FERNANDES DIAS""";PR123;13;38;"""PR"""
24;"""PAULO CRUZ PIMENTEL""";PR151;13;38;"""PR"""
11;"""LUCIANO PIZZATTO""";PR252;13;38;"""PR"""
0;"""ANTONIO PROCOPIAK NETO""";PR270;13;38;"""PR"""
0;"""RALPH DURVAL MOREIRA DE SOUZA""";;13;38;"""PR"""
1;"""ROGERIO MIRANDA DE MELLO""";;13;38;"""PR"""
1;"""EVERALDO SILVA""";;13;38;"""PR"""
21;"""ANTONIO CELSO GARCIA""";PR111;13;38;"""PR"""
5;"""NITIS JACON DE ARAUJO MOREIRA""";PR452;13;38;"""PR"""
0;Pedro Muffato;;13;38;"""PR"""
1;"""ABEL DE SOUZA MORANGUEIRA""";;15;40;"""PR"""
0;"""ARISTIDES MOSSAMBANI""";PR414;15;40;"""PR"""
1;"""AFFONSO ANTONIUK""";;15;40;"""PR"""
1;"""EDA MARIA SLOMP""";PR430;15;40;"""PR"""
6;"""EDESIO FRANCO PASSOS""";PR131;15;40;"""PR"""
13;"""FLAVIO JOSE ARNS""";PR133;15;40;"""PR"""
;Gelson dos Santos;;15;40;"""PR"""
1;"""JULIO CEZAR DE JESUS""";PR161;15;40;"""PR"""
2;"""NELY LIDIA VALENTE DE ALMEIDA""";PR200;15;40;"""PR"""
38;"""OSMAR FERNANDES DIAS""";PR123;15;40;"""PR"""
22;"""PAULO CRUZ PIMENTEL""";PR151;15;40;"""PR"""
13;"""LUCIANO PIZZATTO""";PR252;15;40;"""PR"""
1;"""ANTONIO PROCOPIAK NETO""";PR270;15;40;"""PR"""
0;"""RALPH DURVAL MOREIRA DE SOUZA""";;15;40;"""PR"""
1;"""ROGERIO MIRANDA DE MELLO""";;15;40;"""PR"""
1;"""EVERALDO SILVA""";;15;40;"""PR"""
17;"""ANTONIO CELSO GARCIA""";PR111;15;40;"""PR"""
8;"""NITIS JACON DE ARAUJO MOREIRA""";PR452;15;40;"""PR"""
0;Pedro Muffato;;15;40;
;;;;25;"""PE"""
36;"""CARLOS WILSON ROCHA DE QUEIROZ CAMPOS""";PE141;10;35;"""PE"""
4;"""DILSON DE MOURA PEIXOTO FILHO""";PE131;10;35;"""PE"""
12;"""JOAO DE ANDRADE ARRAES""";PE400;10;35;"""PE"""
1;"""JOSE CARLOS PANTALEAO DA SILVA""";PE162;10;35;"""PE"""
2;"""KATIA MARIA DA SILVA TELLES""";PE161;10;35;"""PE"""
41;"""MARCO ANTONIO DE OLIVEIRA MACIEL""";PE256;10;35;"""PE"""
2;"""MILSON XAVIER DE CARVALHO""";;10;35;"""PE"""
1;"""NELSON BORGES GONCALVES""";PE232;10;35;"""PE"""
0;"""OCIDIR POTES VALE""";;10;35;"""PE"""
2;"""SAMUEL MARCELINO DA SILVA""";;10;35;"""PE"""
16;"""SEVERINO SERGIO ESTELITA GUERRA""";PE456;10;35;"""PE"""
0;"""MARYTZ MENDES BARROS""";PE299;10;35;"""PE"""
31;"""CARLOS WILSON ROCHA DE QUEIROZ CAMPOS""";PE141;12;37;"""PE"""
7;"""DILSON DE MOURA PEIXOTO FILHO""";PE131;12;37;"""PE"""
13;"""JOAO DE ANDRADE ARRAES""";PE400;12;37;"""PE"""
0;"""JOSE CARLOS PANTALEAO DA SILVA""";PE162;12;37;"""PE"""
2;"""KATIA MARIA DA SILVA TELLES""";PE161;12;37;"""PE"""
47;"""MARCO ANTONIO DE OLIVEIRA MACIEL""";PE256;12;37;"""PE"""
0;"""MILSON XAVIER DE CARVALHO""";;12;37;"""PE"""
1;"""NELSON BORGES GONCALVES""";PE232;12;37;"""PE"""
1;"""OCIDIR POTES VALE""";;12;37;"""PE"""
1;"""SAMUEL MARCELINO DA SILVA""";;12;37;"""PE"""
26;"""SEVERINO SERGIO ESTELITA GUERRA""";PE456;12;37;"""PE"""
0;"""MARYTZ MENDES BARROS""";PE299;12;37;"""PE"""
31;"""CARLOS WILSON ROCHA DE QUEIROZ CAMPOS""";PE141;14;39;"""PE"""
9;"""DILSON DE MOURA PEIXOTO FILHO""";PE131;14;39;"""PE"""
10;"""JOAO DE ANDRADE ARRAES""";PE400;14;39;"""PE"""
1;"""JOSE CARLOS PANTALEAO DA SILVA""";PE162;14;39;"""PE"""
1;"""KATIA MARIA DA SILVA TELLES""";PE161;14;39;"""PE"""
47;"""MARCO ANTONIO DE OLIVEIRA MACIEL""";PE256;14;39;"""PE"""
1;"""MILSON XAVIER DE CARVALHO""";;14;39;"""PE"""
1;"""NELSON BORGES GONCALVES""";PE232;14;39;"""PE"""
1;"""OCIDIR POTES VALE""";;14;39;"""PE"""
1;"""SAMUEL MARCELINO DA SILVA""";;14;39;"""PE"""
32;"""SEVERINO SERGIO ESTELITA GUERRA""";PE456;14;39;"""PE"""
0;"""MARYTZ MENDES BARROS""";PE299;14;39;"""PE"""
30;"""CARLOS WILSON ROCHA DE QUEIROZ CAMPOS""";PE141;15;40;"""PE"""
14;"""DILSON DE MOURA PEIXOTO FILHO""";PE131;15;40;"""PE"""
11;"""JOAO DE ANDRADE ARRAES""";PE400;15;40;"""PE"""
0;"""JOSE CARLOS PANTALEAO DA SILVA""";PE162;15;40;"""PE"""
0;"""KATIA MARIA DA SILVA TELLES""";PE161;15;40;"""PE"""
45;"""MARCO ANTONIO DE OLIVEIRA MACIEL""";PE256;15;40;"""PE"""
0;"""MILSON XAVIER DE CARVALHO""";;15;40;"""PE"""
0;"""NELSON BORGES GONCALVES""";PE232;15;40;"""PE"""
0;"""OCIDIR POTES VALE""";;15;40;"""PE"""
0;"""SAMUEL MARCELINO DA SILVA""";;15;40;"""PE"""
38;"""SEVERINO SERGIO ESTELITA GUERRA""";PE456;15;40;"""PE"""
0;"""MARYTZ MENDES BARROS""";PE299;15;40;
;;;;25;"""PI"""
4;"""CARLOS ALBERTO DE MELO LOBO""";PI152;11;36;"""PI"""
1;"""ROBESPIERRE PEREIRA BASTOS""";PI432;11;36;"""PI"""
3;"""FRANCISCO BARBOSA DE MACEDO""";PI331;11;36;"""PI"""
38;"""ANTONIO DE ALMENDRA FREITAS NETO""";PI456;11;36;"""PI"""
1;Geracina;;11;36;"""PI"""
1;"""JOAO GERVASIO DOS SANTOS NETO""";PI166;11;36;"""PI"""
28;"""HERACLITO DE SOUSA FORTES""";PI251;11;36;"""PI"""
1;"""JEFERSON LEITE FERREIRA""";PI300;11;36;"""PI"""
1;"""LUIZ CARLOS DE OLIVEIRA SILVA""";;11;36;"""PI"""
48;"""FRANCISCO DE ASSIS DE MORAES SOUZA""";PI151;11;36;"""PI"""
2;"""PEDRO LAURENTINO REIS PEREIRA""";PI123;11;36;"""PI"""
7;"""ROBERTO JOHN GONCALVES DA SILVA""";;11;36;"""PI"""
6;"""CARLOS ALBERTO DE MELO LOBO""";PI152;12;37;"""PI"""
1;"""ROBESPIERRE PEREIRA BASTOS""";PI432;12;37;"""PI"""
2;"""FRANCISCO BARBOSA DE MACEDO""";PI331;12;37;"""PI"""
35;"""ANTONIO DE ALMENDRA FREITAS NETO""";PI456;12;37;"""PI"""
0;Geracina;;12;37;"""PI"""
1;"""JOAO GERVASIO DOS SANTOS NETO""";PI166;12;37;"""PI"""
34;"""HERACLITO DE SOUSA FORTES""";PI251;12;37;"""PI"""
2;"""JEFERSON LEITE FERREIRA""";PI300;12;37;"""PI"""
0;"""LUIZ CARLOS DE OLIVEIRA SILVA""";;12;37;"""PI"""
50;"""FRANCISCO DE ASSIS DE MORAES SOUZA""";PI151;12;37;"""PI"""
2;"""PEDRO LAURENTINO REIS PEREIRA""";PI123;12;37;"""PI"""
11;"""ROBERTO JOHN GONCALVES DA SILVA""";;12;37;"""PI"""
4;"""CARLOS ALBERTO DE MELO LOBO""";PI152;14;39;"""PI"""
1;"""ROBESPIERRE PEREIRA BASTOS""";PI432;14;39;"""PI"""
2;"""FRANCISCO BARBOSA DE MACEDO""";PI331;14;39;"""PI"""
33;"""ANTONIO DE ALMENDRA FREITAS NETO""";PI456;14;39;"""PI"""
0;Geracina;;14;39;"""PI"""
0;"""JOAO GERVASIO DOS SANTOS NETO""";PI166;14;39;"""PI"""
33;"""HERACLITO DE SOUSA FORTES""";PI251;14;39;"""PI"""
0;"""JEFERSON LEITE FERREIRA""";PI300;14;39;"""PI"""
2;"""LUIZ CARLOS DE OLIVEIRA SILVA""";;14;39;"""PI"""
50;"""FRANCISCO DE ASSIS DE MORAES SOUZA""";PI151;14;39;"""PI"""
1;"""PEDRO LAURENTINO REIS PEREIRA""";PI123;14;39;"""PI"""
11;"""ROBERTO JOHN GONCALVES DA SILVA""";;14;39;"""PI"""
5;"""CARLOS ALBERTO DE MELO LOBO""";PI152;15;40;"""PI"""
0;"""ROBESPIERRE PEREIRA BASTOS""";PI432;15;40;"""PI"""
4;"""FRANCISCO BARBOSA DE MACEDO""";PI331;15;40;"""PI"""
39;"""ANTONIO DE ALMENDRA FREITAS NETO""";PI456;15;40;"""PI"""
0;Geracina;;15;40;"""PI"""
0;"""JOAO GERVASIO DOS SANTOS NETO""";PI166;15;40;"""PI"""
39;"""HERACLITO DE SOUSA FORTES""";PI251;15;40;"""PI"""
0;"""JEFERSON LEITE FERREIRA""";PI300;15;40;"""PI"""
2;"""LUIZ CARLOS DE OLIVEIRA SILVA""";;15;40;"""PI"""
49;"""FRANCISCO DE ASSIS DE MORAES SOUZA""";PI151;15;40;"""PI"""
0;"""PEDRO LAURENTINO REIS PEREIRA""";PI123;15;40;"""PI"""
18;"""ROBERTO JOHN GONCALVES DA SILVA""";;15;40;
;;;;25;"""RJ"""
14;"""PAULO ALBERTO ARTUR DA TAVOLA MORETZSOHN MONTEIRO DE BARROS""";RJ456;8;33;"""RJ"""
1;"""CARLOS CESAR VELOSO""";;8;33;"""RJ"""
2;"""EDSON SANTOS DE SOUZA""";RJ131;8;33;"""RJ"""
2;"""FERNANDO PAULO FIGUEIREDO BUARQUE DE GUSMAO""";RJ656;8;33;"""RJ"""
1;"""FLORINDA MOREIRA LOMBARDI""";RJ161;8;33;"""RJ"""
0;"""LUIS FERNANDO DE OLIVEIRA GUTMAN""";RJ213;8;33;"""RJ"""
1;"""JANIO CARLOS ALMEIDA DE CARVALHO""";RJ281;8;33;"""RJ"""
1;"""JEFFERSON TARDIN MOREIRA""";;8;33;"""RJ"""
1;"""JOAO MIGUEL LIMA ESTEPHANIO""";;8;33;"""RJ"""
1;"""JOVELINO RIBEIRO""";RJ311;8;33;"""RJ"""
22;"""LEONEL DE MOURA BRIZOLA""";RJ122;8;33;"""RJ"""
2;"""CARLOS ROBERTO LUPI""";RJ123;8;33;"""RJ"""
19;"""MARCELO BEZERRA CRIVELLA""";RJ222;8;33;"""RJ"""
1;"""MARCOS ANTONIO CANDIDO MANSO""";;8;33;"""RJ"""
0;"""MARCILIO ALEXANDRE QUARESMA DE OLIVEIRA""";RJ561;8;33;"""RJ"""
1;"""OCTACILIO PEREIRA RAMALHO""";RJ162;8;33;"""RJ"""
1;"""ULISSES MARTINS""";RJ262;8;33;"""RJ"""
4;"""MANOEL FERREIRA""";RJ111;8;33;"""RJ"""
1;"""PAULO ROBERTO DE MELLO SANTORO""";;8;33;"""RJ"""
37;"""SERGIO DE OLIVEIRA CABRAL SANTOS FILHO""";RJ155;8;33;"""RJ"""
1;"""WILLY ORTIZ DE OLIVEIRA""";;8;33;"""RJ"""
0;"""CARLOS ALBERTO PEREIRA MARQUES""";RJ282;8;33;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;8;33;"""RJ"""
0;"""LILIAM SA DE PAULA""";RJ223;8;33;"""RJ"""
16;"""PAULO ALBERTO ARTUR DA TAVOLA MORETZSOHN MONTEIRO DE BARROS""";RJ456;10;35;"""RJ"""
1;"""CARLOS CESAR VELOSO""";;10;35;"""RJ"""
5;"""EDSON SANTOS DE SOUZA""";RJ131;10;35;"""RJ"""
1;"""FERNANDO PAULO FIGUEIREDO BUARQUE DE GUSMAO""";RJ656;10;35;"""RJ"""
0;"""FLORINDA MOREIRA LOMBARDI""";RJ161;10;35;"""RJ"""
0;"""LUIS FERNANDO DE OLIVEIRA GUTMAN""";RJ213;10;35;"""RJ"""
0;"""JANIO CARLOS ALMEIDA DE CARVALHO""";RJ281;10;35;"""RJ"""
0;"""JEFFERSON TARDIN MOREIRA""";;10;35;"""RJ"""
0;"""JOAO MIGUEL LIMA ESTEPHANIO""";;10;35;"""RJ"""
0;"""JOVELINO RIBEIRO""";RJ311;10;35;"""RJ"""
16;"""LEONEL DE MOURA BRIZOLA""";RJ122;10;35;"""RJ"""
2;"""CARLOS ROBERTO LUPI""";RJ123;10;35;"""RJ"""
24;"""MARCELO BEZERRA CRIVELLA""";RJ222;10;35;"""RJ"""
0;"""MARCOS ANTONIO CANDIDO MANSO""";;10;35;"""RJ"""
0;"""MARCILIO ALEXANDRE QUARESMA DE OLIVEIRA""";RJ561;10;35;"""RJ"""
0;"""OCTACILIO PEREIRA RAMALHO""";RJ162;10;35;"""RJ"""
1;"""ULISSES MARTINS""";RJ262;10;35;"""RJ"""
6;"""MANOEL FERREIRA""";RJ111;10;35;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;10;35;"""RJ"""
42;"""SERGIO DE OLIVEIRA CABRAL SANTOS FILHO""";RJ155;10;35;"""RJ"""
0;"""WILLY ORTIZ DE OLIVEIRA""";;10;35;"""RJ"""
0;"""CARLOS ALBERTO PEREIRA MARQUES""";RJ282;10;35;"""RJ"""
1;"""PAULO ROBERTO DE MELLO SANTORO""";;10;35;"""RJ"""
2;"""LILIAM SA DE PAULA""";RJ223;10;35;"""RJ"""
15;"""PAULO ALBERTO ARTUR DA TAVOLA MORETZSOHN MONTEIRO DE BARROS""";RJ456;11;36;"""RJ"""
1;"""CARLOS CESAR VELOSO""";;11;36;"""RJ"""
6;"""EDSON SANTOS DE SOUZA""";RJ131;11;36;"""RJ"""
2;"""FERNANDO PAULO FIGUEIREDO BUARQUE DE GUSMAO""";RJ656;11;36;"""RJ"""
1;"""FLORINDA MOREIRA LOMBARDI""";RJ161;11;36;"""RJ"""
0;"""LUIS FERNANDO DE OLIVEIRA GUTMAN""";RJ213;11;36;"""RJ"""
0;"""JANIO CARLOS ALMEIDA DE CARVALHO""";RJ281;11;36;"""RJ"""
0;"""JEFFERSON TARDIN MOREIRA""";;11;36;"""RJ"""
1;"""JOAO MIGUEL LIMA ESTEPHANIO""";;11;36;"""RJ"""
0;"""JOVELINO RIBEIRO""";RJ311;11;36;"""RJ"""
17;"""LEONEL DE MOURA BRIZOLA""";RJ122;11;36;"""RJ"""
2;"""CARLOS ROBERTO LUPI""";RJ123;11;36;"""RJ"""
27;"""MARCELO BEZERRA CRIVELLA""";RJ222;11;36;"""RJ"""
0;"""MARCOS ANTONIO CANDIDO MANSO""";;11;36;"""RJ"""
0;"""MARCILIO ALEXANDRE QUARESMA DE OLIVEIRA""";RJ561;11;36;"""RJ"""
0;"""OCTACILIO PEREIRA RAMALHO""";RJ162;11;36;"""RJ"""
1;"""ULISSES MARTINS""";RJ262;11;36;"""RJ"""
7;"""MANOEL FERREIRA""";RJ111;11;36;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;11;36;"""RJ"""
41;"""SERGIO DE OLIVEIRA CABRAL SANTOS FILHO""";RJ155;11;36;"""RJ"""
0;"""WILLY ORTIZ DE OLIVEIRA""";;11;36;"""RJ"""
0;"""CARLOS ALBERTO PEREIRA MARQUES""";RJ282;11;36;"""RJ"""
1;"""PAULO ROBERTO DE MELLO SANTORO""";;11;36;"""RJ"""
2;"""LILIAM SA DE PAULA""";RJ223;11;36;"""RJ"""
18;"""PAULO ALBERTO ARTUR DA TAVOLA MORETZSOHN MONTEIRO DE BARROS""";RJ456;13;38;"""RJ"""
1;"""CARLOS CESAR VELOSO""";;13;38;"""RJ"""
9;"""EDSON SANTOS DE SOUZA""";RJ131;13;38;"""RJ"""
3;"""FERNANDO PAULO FIGUEIREDO BUARQUE DE GUSMAO""";RJ656;13;38;"""RJ"""
0;"""FLORINDA MOREIRA LOMBARDI""";RJ161;13;38;"""RJ"""
0;"""LUIS FERNANDO DE OLIVEIRA GUTMAN""";RJ213;13;38;"""RJ"""
0;"""JANIO CARLOS ALMEIDA DE CARVALHO""";RJ281;13;38;"""RJ"""
0;"""JEFFERSON TARDIN MOREIRA""";;13;38;"""RJ"""
0;"""JOAO MIGUEL LIMA ESTEPHANIO""";;13;38;"""RJ"""
0;"""JOVELINO RIBEIRO""";RJ311;13;38;"""RJ"""
15;"""LEONEL DE MOURA BRIZOLA""";RJ122;13;38;"""RJ"""
1;"""CARLOS ROBERTO LUPI""";RJ123;13;38;"""RJ"""
27;"""MARCELO BEZERRA CRIVELLA""";RJ222;13;38;"""RJ"""
0;"""MARCOS ANTONIO CANDIDO MANSO""";;13;38;"""RJ"""
0;"""MARCILIO ALEXANDRE QUARESMA DE OLIVEIRA""";RJ561;13;38;"""RJ"""
0;"""OCTACILIO PEREIRA RAMALHO""";RJ162;13;38;"""RJ"""
0;"""ULISSES MARTINS""";RJ262;13;38;"""RJ"""
10;"""MANOEL FERREIRA""";RJ111;13;38;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;13;38;"""RJ"""
46;"""SERGIO DE OLIVEIRA CABRAL SANTOS FILHO""";RJ155;13;38;"""RJ"""
0;"""WILLY ORTIZ DE OLIVEIRA""";;13;38;"""RJ"""
0;"""CARLOS ALBERTO PEREIRA MARQUES""";RJ282;13;38;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;13;38;"""RJ"""
1;"""LILIAM SA DE PAULA""";RJ223;13;38;"""RJ"""
19;"""PAULO ALBERTO ARTUR DA TAVOLA MORETZSOHN MONTEIRO DE BARROS""";RJ456;15;40;"""RJ"""
1;"""CARLOS CESAR VELOSO""";;15;40;"""RJ"""
11;"""EDSON SANTOS DE SOUZA""";RJ131;15;40;"""RJ"""
2;"""FERNANDO PAULO FIGUEIREDO BUARQUE DE GUSMAO""";RJ656;15;40;"""RJ"""
1;"""FLORINDA MOREIRA LOMBARDI""";RJ161;15;40;"""RJ"""
1;"""LUIS FERNANDO DE OLIVEIRA GUTMAN""";RJ213;15;40;"""RJ"""
0;"""JANIO CARLOS ALMEIDA DE CARVALHO""";RJ281;15;40;"""RJ"""
1;"""JEFFERSON TARDIN MOREIRA""";;15;40;"""RJ"""
0;"""JOAO MIGUEL LIMA ESTEPHANIO""";;15;40;"""RJ"""
1;"""JOVELINO RIBEIRO""";RJ311;15;40;"""RJ"""
15;"""LEONEL DE MOURA BRIZOLA""";RJ122;15;40;"""RJ"""
1;"""CARLOS ROBERTO LUPI""";RJ123;15;40;"""RJ"""
29;"""MARCELO BEZERRA CRIVELLA""";RJ222;15;40;"""RJ"""
0;"""MARCOS ANTONIO CANDIDO MANSO""";;15;40;"""RJ"""
0;"""MARCILIO ALEXANDRE QUARESMA DE OLIVEIRA""";RJ561;15;40;"""RJ"""
0;"""OCTACILIO PEREIRA RAMALHO""";RJ162;15;40;"""RJ"""
1;"""ULISSES MARTINS""";RJ262;15;40;"""RJ"""
12;"""MANOEL FERREIRA""";RJ111;15;40;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;15;40;"""RJ"""
45;"""SERGIO DE OLIVEIRA CABRAL SANTOS FILHO""";RJ155;15;40;"""RJ"""
0;"""WILLY ORTIZ DE OLIVEIRA""";;15;40;"""RJ"""
0;"""CARLOS ALBERTO PEREIRA MARQUES""";RJ282;15;40;"""RJ"""
0;"""PAULO ROBERTO DE MELLO SANTORO""";;15;40;"""RJ"""
1;"""LILIAM SA DE PAULA""";RJ223;15;40;
;;;;25;"""RN"""
1;"""ANA CELIA SIQUEIRA FERREIRA""";RN161;12;37;"""RN"""
2;"""JOSE MARCELO DE SOUZA""";RN133;12;37;"""RN"""
46;"""JOSE AGRIPINO MAIA""";RN252;12;37;"""RN"""
9;"""HUGO MANSO JUNIOR""";RN131;12;37;"""RN"""
1;"""FERNANDO ANTONIO SOARES DOS SANTOS""";RN162;12;37;"""RN"""
0;"""ALVACIR NOBRE PRAXEDES""";RN122;12;37;"""RN"""
35;"""GERALDO JOSE DA CAMARA FERREIRA DE MELO""";RN456;12;37;"""RN"""
1;"""MAURICIO PEREIRA DANTAS""";;12;37;"""RN"""
52;"""GARIBALDI ALVES FILHO""";RN154;12;37;"""RN"""
2;"""ISMAEL WANDERLEY GOMES FILHO""";RN404;12;37;"""RN"""
5;"""AUGUSTO CARLOS GARCIA DE VIVEIROS""";RN253;12;37;"""RN"""
1;"""HENRIQUE MIRANDA SA NETO""";;12;37;
;;;;25;"""RS"""
20;"""EMILIA THEREZINHA XAVIER FERNANDES""";RS133;7;32;"""RS"""
1;"""LUIS GUILHERME TARRAGO GIORDANO""";;7;32;"""RS"""
1;"""JOSE HUGO MARDINI""";RS111;7;32;"""RS"""
1;"""JOAO BOSCO GRANATO VAZ""";RS123;7;32;"""RS"""
30;"""JOSE ALBERTO FOGACA DE MEDEIROS""";RS231;7;32;"""RS"""
1;"""MARCOS ALEXANDRE CITTOLIN""";RS401;7;32;"""RS"""
3;"""MARISA AMARAL MEDEIROS DA SILVA""";RS565;7;32;"""RS"""
6;"""ODACIR KLEIN""";RS151;7;32;"""RS"""
1;"""OTAVIO GONCALVES RÖHRIG""";RS162;7;32;"""RS"""
0;Paulo Aires;;7;32;"""RS"""
1;"""PAULO ARLETES RIOS BARELA""";RS161;7;32;"""RS"""
0;"""PAULO RENATO SCHMITT CARDOSO""";RS434;7;32;"""RS"""
16;"""PAULO RENATO PAIM""";RS131;7;32;"""RS"""
0;"""RONER ANDERSON FAGUNDES GONCALVES""";RS430;7;32;"""RS"""
46;"""SERGIO PEDRO ZAMBIASI""";RS144;7;32;"""RS"""
2;"""VALDIR CAETANO DA SILVA""";RS222;7;32;"""RS"""
